match_id,home_team_name,home_score,away_team_name,away_score,match_date,stage,world_cup,match,final_score
92,Croatia,4,Canada,1,2022-11-27,Group Stage,Qatar,Croatia X Canada,4 - 1
93,Portugal,2,Uruguay,0,2022-11-28,Group Stage,Qatar,Portugal X Uruguay,2 - 0
94,Cameroon,3,Serbia,3,2022-11-28,Group Stage,Qatar,Cameroon X Serbia,3 - 3
95,Brazil,1,Switzerland,0,2022-11-28,Group Stage,Qatar,Brazil X Switzerland,1 - 0
96,South Korea,2,Ghana,3,2022-11-28,Group Stage,Qatar,South Korea X Ghana,2 - 3
97,Ecuador,1,Senegal,2,2022-11-29,Group Stage,Qatar,Ecuador X Senegal,1 - 2
98,Wales,0,England,3,2022-11-29,Group Stage,Qatar,Wales X England,0 - 3
99,Iran,0,United States,1,2022-11-29,Group Stage,Qatar,Iran X United States,0 - 1
100,Netherlands,2,Qatar,0,2022-11-29,Group Stage,Qatar,Netherlands X Qatar,2 - 0
101,Saudi Arabia,1,Mexico,2,2022-11-30,Group Stage,Qatar,Saudi Arabia X Mexico,1 - 2
102,Tunisia,1,France,0,2022-11-30,Group Stage,Qatar,Tunisia X France,1 - 0
103,Poland,0,Argentina,2,2022-11-30,Group Stage,Qatar,Poland X Argentina,0 - 2
104,Australia,1,Denmark,0,2022-11-30,Group Stage,Qatar,Australia X Denmark,1 - 0
105,Croatia,0,Belgium,0,2022-12-01,Group Stage,Qatar,Croatia X Belgium,0 - 0
106,Costa Rica,2,Germany,4,2022-12-01,Group Stage,Qatar,Costa Rica X Germany,2 - 4
107,Canada,1,Morocco,2,2022-12-01,Group Stage,Qatar,Canada X Morocco,1 - 2
108,Japan,2,Spain,1,2022-12-01,Group Stage,Qatar,Japan X Spain,2 - 1
109,South Korea,2,Portugal,1,2022-12-02,Group Stage,Qatar,South Korea X Portugal,2 - 1
110,Ghana,0,Uruguay,2,2022-12-02,Group Stage,Qatar,Ghana X Uruguay,0 - 2
111,Serbia,2,Switzerland,3,2022-12-02,Group Stage,Qatar,Serbia X Switzerland,2 - 3
112,Cameroon,1,Brazil,0,2022-12-02,Group Stage,Qatar,Cameroon X Brazil,1 - 0
113,Argentina,2,Australia,1,2022-12-03,Round of 16,Qatar,Argentina X Australia,2 - 1
114,Netherlands,3,United States,1,2022-12-03,Round of 16,Qatar,Netherlands X United States,3 - 1
115,England,3,Senegal,0,2022-12-04,Round of 16,Qatar,England X Senegal,3 - 0
116,France,3,Poland,1,2022-12-04,Round of 16,Qatar,France X Poland,3 - 1
117,Brazil,4,South Korea,1,2022-12-05,Round of 16,Qatar,Brazil X South Korea,4 - 1
118,Japan,1,Croatia,1,2022-12-05,Round of 16,Qatar,Japan X Croatia,1 - 1
119,Portugal,6,Switzerland,1,2022-12-06,Round of 16,Qatar,Portugal X Switzerland,6 - 1
120,Morocco,0,Spain,0,2022-12-06,Round of 16,Qatar,Morocco X Spain,0 - 0
121,Croatia,1,Brazil,1,2022-12-09,Quarter-finals,Qatar,Croatia X Brazil,1 - 1
122,Netherlands,2,Argentina,2,2022-12-09,Quarter-finals,Qatar,Netherlands X Argentina,2 - 2
123,Morocco,1,Portugal,0,2022-12-10,Quarter-finals,Qatar,Morocco X Portugal,1 - 0
124,England,1,France,2,2022-12-10,Quarter-finals,Qatar,England X France,1 - 2
125,Argentina,3,Croatia,0,2022-12-13,Semi-finals,Qatar,Argentina X Croatia,3 - 0
126,France,2,Morocco,0,2022-12-14,Semi-finals,Qatar,France X Morocco,2 - 0
127,Croatia,2,Morocco,1,2022-12-17,3rd Place Final,Qatar,Croatia X Morocco,2 - 1
128,Argentina,3,France,3,2022-12-18,Final,Qatar,Argentina X France,3 - 3
